class,class_encoded,conversation
갈취 대화,1,야! 잠깐 이리로 와봐 나? 왜 왜 그러는데. 내가 요즘에 갖고 싶은게 있거든. 그래서 돈 좀 주라. 나도 돈이 없어 얼마전에 용돈 받았잖아 문제집이랑 학용품 살 돈이야. 다시 용돈 받으면 되잖아. 지난번에도 돈이 부족해서 받아서 안되는데 내 알바 아니고 이건 내가 가져갈테니 알아서 잘 둘러대 부모님께서 뭐라 하실텐데.
갈취 대화,1,"야, 입금 언제 할 건데? 조금만 시간을 주세요. 너가 미쳤구나 이젠 못 기다려. 이 돈을 어떻게든 구해 볼게요. 이젠 다 끝났어. 난 너 나체사진 주변인들에게 보낼 거야. 정말 죄송해요. 일단 100만원 드릴게요. 이번만은 참는다. 그럼 다음주 까지 돈 들고 와. 네 알겠습니다. 죄송해요.."
기타 괴롭힘 대화,3,야 야 넌 어떻게 사냐 무슨 소리야 말이야 그렇게 토 나오게 생겨서 어떻게 사냐고 그렇게 말하지마 뭐래 돼지들 같은게 가 나 좀 가만히 내버려 둬 이제 이게 나랑 맞먹으려고 하네? 신경을 끄라고 그냥 이 못생긴게 어디서 말대꾸야? 이게 맞을래? 하지마 제발
기타 괴롭힘 대화,3,야. 너희 둘 뭐야 아 들켰네? 뭐긴머야 연인사이지 뭐? 왜 놀라고그래 니 남자가 왜 너랑만 만나라는 법이 있니? 너 뭐.? 너가 나보다 더 잘난게 뭐가있니 외모? 몸매? 너는 그냥 잠깐 만나기 좋은 여자일뿐이야 그리고 너한테 이 남자가 어울린다고 생각하니? 음 전혀 안 하. 이 사람도 너한테 질릴만큼 질렸으니까 나한테서 넘어 온거고 너무 안 좋게만 해야 한다고 생각하지마 아. 있을 때는 잘 하지 그랬어. 니가 질리는여자인걸 내가 뭐 어떻게 하니
직장 내 괴롭힘 대화,2,안녕하세요. 너무 너무 바쁜데 이게 무슨 일이야. 아 저 7월 30일에 개인사정으로 연차 써야 될것도 같은데 가능할까요?? 아니 이때 바쁜거 뻔히 알면서 연차 쓴다고? 네?? 아. 아니면 날짜 정해주시면 그때 연차 쓸게요. 날짜 옮길수 있는거면 그렇게 바쁜일도 아닌것 같은데 꼭 써야돼.?? 아. 대출때문에 은행에 가야되서. 아니 본인연차 본인이 알아서 써야지 왜? 나한테 날짜를 물어봐 내가 그런것까지 정해줘야돼? 진짜 뭐 사소한거 하나도 본인이 알아서 못하냐고 아. 아니요. 날짜 정해서 다시 말씀드릴게요. 진짜 제대로 하는게 뭐야 아 짜증나서 저리가
갈취 대화,1,어이 거기 잘생긴 놈 이리. 네? 설마 네가 잘생겼다고 생각해서 여기 온 거냐? 재수없네 됐고. 돈이나 내놔. 아 네? 한 두 대 맞아야 말을 듣는 프렌즈구나? 자 명치에 빵 들어갑니다잉. 어컥! 엄살이 심하구나. 그냥 살짝 건드린 건데 그런 건데. 웃긴 소리가 나네. 어릴 때 가지고 놀던 배 누르면 소리나는 곰인형 생각난다. 아 추억이 새록새록. 아. 허억. 왜 이러세요? 네 얼굴에 맞으면 무슨 소리가 날까? 난 좀 궁금한데 너도 궁금하니? 알았어요 돈 주면 되죠? 적선하는 거처럼 말하지 마라. 짜증나니까. 어디 보자 보자. 어디 보자. 뭐야 별로 많이 갖고 다니는 것도 뭐 장난이 아니구만. 네 손목에 그거 비싸보이네 내 놔. 아 안 줘도 돼요. 그 시계는 할아버지의 유품이란 말이에요. 돌려주세요. 아 어이구 딱해라 쯧쯧쯧. 그럼 어떻게 이걸 돌려주는 게 재밌을까? 아 맞다. 이 오천원짜리 만원짜리 지폐 이거 보이냐. 이거 겁나 낡아서 내가 맘에 안 들거든. 그럼 느그 엄마한테 가서 빳빳한 걸로 새로 달라고 해라. 그럼 이 시계는 내가 갖고 있으마. 캬 이렇게 담보라는 개념을 배우네. 아 그게 무슨 말도 안 되는. 지금 내가 뜯은 만큼의 딱 두배로 가져와라. 뭐 못하겠다면 어쩔 수 없지. 이 시계 어디 가서 팔 수 있지? 아 알았어요. 가져올게요.
기타 괴롭힘 대화,3,야 야 너 엄마닮았냐? 아니. 왜? 그럼 아빠닮았나보네 왜물어보는건데 아니 너 존 못생겨서 누구 닮았나 궁금해서 왜 우리 부모님까지 들먹이는건데 아니 야 너 그냥 닥 뒤질라고 나를 욕하는건 괜찮은데 부모님은 건들지마 야 내가 우습냐? 쳐맞기싫으면 너 가만히 쳐있으세요 너 신고할거야
협박 대화,0,김영감이 우리네집 개죽였지? 무슨소리야 우리집 개가 그집 닭좀 물어죽였다고 죽인거 아니냐고 나는 모르는 일일세 오늘은 혀내밀고 죽었던데 약이라고 타서 먹인거 아니야? 아니 나는 아닐세. 난 진정하게 자네밖에 없네 자네도 우리집 메리처럼 날 뒤질준비하게 무슨소리인가! 내가 약먹여서 죽여버릴테니까 우리집 강아지처럼 나는 아닐세 전정하게
협박 대화,0,너 이 주사 사건에 대해 뭘 알고있지? 난 아무것도 몰라! 사실대로 말해 다 알고왔으니깐 뭐.? 난 너 진짜 나 몰라! 모른다고!. 너 자꾸 이런식으로 나오면 곤란해! 나한테 왜그래! 이걸 너한테 투여하면 바로 심장마비가 와서 죽을 수 도 있어. 하지마 제발. 이 주사를 찌르기 전에 사실대로 다 말해. 알겠어.
기타 괴롭힘 대화,3,우리 귀여운 철수야 여기 돈 줄테니까 핫도그랑 콜라좀 사다줄래? 남은 거 돈은 너 가져 심부름값이야 핫도그랑 콜라 사려면 돈이 부족한데.?? 무슨 소리야? 나머지 돈은 그냥 너가 채우는 건 거고. 나. 돈 없어. 이 새끼가 말대꾸가 늘었네? 그거 사오라면 사와. 돈이 없다고.! 에라라랄라 돈 업따고 그건 네 사정이고요 종친다. 빨리 갔다와. 알겠어. 그럼 이렇게 말 잘 들어야지. 아까는 또 다른 사람인줄알았다?
갈취 대화,1,나 돈 너무 급해서 빌려줘서 또.? 얼마? 왜? 그냥 말이 좀 많네 빌릴거면 다른 말을 해야지. 좋은말로 할 때 주던가 쳐 맞고 싶냐 못해 빌려 주겠다. 어디부터 맞을래 미안해 근데 안 돼 친구가 내 돈 빌려달라는데 미안 일단 꺼져라 진짜
협박 대화,0,야 야! 너 그거 당장 안 내놔!!! 절대 못 줘 이게 얼마나 중요한 증거인데!! 그것만 주면 내가 너 너 하라는 건 다 할게. 제발 그거 줘. 제발 아니 못 줘 이거 경찰서에 제출하고 너 벌 받게 할 거야. 야 야. 야 우리가 몇 년 사귄 친구냐? 어? 그것만 용서해 주면 나 앞으로도 착하게 살게 너 그건 용서받을 수 밖에 없는 죄잖아. 정말 못 주겠어? 정말? 내가 평생 감옥에 있는 거 보고만 싶은 거야? 너 죗값 받자 응? 그냥 다시 시작하면 되잖아. 어쩔 수 없지 이걸로 너 죽여버릴 거야. 야 너 지금 왜 이래. 진정해 봐. 내가 너만 죽일 거 같아? 너네 가족도 다 죽여버릴게. 알겠어 이거 없앨게. 제발 이러지 마.
협박 대화,0,니가 내책가져갓냐 잠깐 빌려 간거야 그럼 말을 하고 잠깐 빌려가던가 잠깐 보고 냅둘랴고 했어. 근데 왜 아직 들고 잇냐 책하나 가지고 왜그러냐 당장 내놔라 아직 덜 봣어 너 책 다보고 줄게 죽고 싶냐 당장 책 내놔라 너 협박죄로 고소할꺼야
기타 괴롭힘 대화,3,웨이터 얼른 일로와!!! 네 무슨 일이십니까? 지금 이 음식에서 머리카락이 나왔어!! 당장 다시 만들어서 죄송합니다 얼른 바꿔드릴께요 죄송하면 다야? 죄송하면 다 무릎이라도 꿇어야하는거 아니야? 네?? 죄송하면 무릎이라도 꿇으라고 아니 죄송하지만 그건 못하겠어? 꼴에 자존심은 너무 쎄서 어휴 이래서는 더 못배운애들은 안된다니까?. 죄송합니다.
갈취 대화,1,야 너 담배 있냐? 앗. 네 한갑 있어요 그래? 그럼 한갑 다 줘 네? 그건. 좀. 그럼 뭐? 그건 좀? 죽고 싶어? 처맞고 줄래 그냥 줄래. 죄송해요. 바로 드릴게요 그냥 순순히 주면 될 것이지 괜히 싫은 티 내가지고 얼마나 기분을 나쁘게 만드냐 짜증나니까. 담배 한갑만 더 사와 아. 넵. 그럼 돈은. 야 니는 지갑에 돈이 없어? 자 그럼 바로 사 오겠습니다.
기타 괴롭힘 대화,3,넌 왜이리 얼굴에 여드름이 많아? 나도 그래서 스트레스야. 여드름이 나이가 몇인데 아직도 이렇게 많은거야? 야 나도 이것 하나 하나 때문에 스트레스인데 너까지 이래야겠냐? 여드름이 많아서 자꾸 사람들이 너를 쳐다보잖아. 그래서 자꾸 사람들이 나를 쳐다보든 그 말든 무슨 상관이야? 같이 다니는 내가 창피하니까. 그렇지. 그럼 나랑 따로 다니면 되겠네. 그래 너 나도 여드름 많은 사람이랑 친구 친구 하기 싫다. 그래 나도 너 나 그것 때문에 무시하는 그런 사람이랑 친구 하기 싫다.
직장 내 괴롭힘 대화,2,야 그래픽 작업이 이것으로 밖에 안돼? 죄송하지만. 야 게임 설정 아무리 잘 만들어줘 봤자 뭐하냐? 죄송합니다. 하지만 시끄럽고 니 같은 쓰래기가 그래픽작업을 이따위로 하면 주변에 일하는 모든 인간들 기다려야 하잖아 사장님 이의 제기 합니다. 그래픽 작업 작업인원이 너무적어요 그런 퀄리티의 작업에 사람이 그렇게 적으면 어쩌자는 거에요! 야 세상 좋아 졌다 그치. 니같은게 나한테 대들고 말야 그치. 사장님. 넌 오늘 남들 퇴근할때 2시간 더 작업 할줄알아 아님 나가던지 너무하신거 아니에요 직원을 더 뽑아서 주세요. 아님 그 잘난 잘난 코딩 작업자들을 아티스트로 바꾸어치기 하던지 자네 나한테 명령하나? 너 나가 그냥 너같은 놈 필요 없어
갈취 대화,1,거기 잠깐 와봐. 네? 누구세요.? 어어 뭐 별 건 아니고 비싼 휴대폰 들고다니네 왜 자꾸 이러세요. 줘봐그거 주면 곱게 보내줄게. 저 가진 거 필요 없어요. 정말이에요. 그건 우리가 볼 테니까. 내놔. 안돼요. 그럼. 돌려주세요. 가만히 있어야 몸이라도 멀쩡히 잘 돌아가지. 신고할 거에요. 이러지 마세요.
기타 괴롭힘 대화,3,? 아니 얘 야. 너네 집 물 안나오니?? 그게 무슨 소리야? 아님 샴푸가 없어? 그러니까 갑자기. 왜? 아니. 머리를 왜 안감고 다니나 해서 나. 머리 매일 감거든? 그래?? 아무도 그 말 안 믿을걸? 못생겼으면 잘 씻기라도 해야지. 정말. 나도 머리 매일 씻는다고. 애들도 다 그래. 학교오면서 좀 씻고만 다니지 옆에 지나가기도 무섭대. 이 옮을까봐 아니라고. 아니야 정말.
기타 괴롭힘 대화,3,야야 여기 봐봐 왜? 에베베 너 지금 뭐하는 그런 거 거야? 나 장애가 있다고 놀리는거야? 그래 놀리는거다! 이 장애야! 정말 너무한다. 나도 이 장애를 가지고 태어나고 싶어서 그렇게 태어난 거 아니야. 어쩌라고? 그럼 내 탓이냐? 그만해. 제발. 싫은데. 싫은데? 난 계속 놀릴거야 흐흑. 그만하라고.
갈취 대화,1,야 야 이거 내가 좀 춥다. 환절기 되니까 좀 쌀쌀해 그렇지? 어어? 그러네 와 이새끼 패딩 좋은거 입고 다니네 아 고마워 아니. 고마워말고 좀 벗어봐 응? 나도 한번만 입어보자. 어? 입어만 보는거지? 응 입어보니까 보는 것만으로도 다르네 야 이거 내가 추워서 지금 추우니까 입고 다음주에 돌려줄게. 어? 안되는데 야 그럼 내가 추워 얼어 죽었으면 좋겠냐??. 아니. 그건아닌데 그럼 주말 잘보내라. 나 간다
직장 내 괴롭힘 대화,2,아니 오늘 대리 옷이 참 예쁘구만. 아니 아 감사합니다. 대리는 다리가 예뻐서 조금 더 짧은 치마도 잘 어울릴텐데. 아니 아 부장님. 칭찬은 감사하지만 제 옷은 제가 알아서 하겠습니다. 아니 대리 섭섭하게 왜 그래. 아니 나는 대리를 생각해서 그러는 건데. 아니 아 네 부장님. 알고 있습니다. 알고 있으면서. 아니 왜 자꾸 그렇게 서운하게 말하는 거야? 다음부터는 조심하겠습니다. 그럼 다음 번 생일선물 대리에게 맞는 치마 하나 사줄께. 네 알겠습니다.
협박 대화,0,왜 배신했어? 죽고만 싶어서? 배신? 네가 나를 더 죽이려는 이유나 들어보자 네가 여기 들어오고 나서 내 입지가 줄었거든? 너 너무 원망하지 마 입지가 줄었다고 사람을 죽인다고? 이 깡패야! 깡패? 네가 날 이렇게 만든 거야 살려달라고 좀 빌어봐 그럼 살려줄 수도 있지 살려만 살려 줘 그럼 이 세상에서 죽은 듯이 사라질게 그렇면 내가 날 더 죽이고 싶잖아 뭘하면 살려줄꺼야? 팔을 하나만 잘라 놓고 가 그럼 살려줄게 머라고 해? 자르지 않고? 예 형님
갈취 대화,1,나 오늘 애플워치 좀 빌려주라. 손목이 허전해 애플워치? 이건 왜 안 해도 돼? 왜 안 돼? 나도 아이폰이어서 괜찮아 내가 안 해도 된다고 하는 건데. 빨리 할 시간 없어 내놔 안 돼. 어 손목 좀 줘봐! 내가 뺄게 싫어 네가 싫으면 어쩔 거야 고마워 안 된다고 다시 줘 제발
직장 내 괴롭힘 대화,2,자네 내일 모레 아침에는 우리집 들려서 출근하게. 아 네? 내가 차가 고장났어 아. 그런데 실장님 댁이랑 저희집은 반대방향이라서 제가 차막힐거 고려해서 5시에는 나와야할것같은데. 그래서 조금 힘들다? 제가 그방면에서 사는 사람이 있는지 알아보겠습니다 아니 됐네 내가 너무 기분이 상해서 그냥 새벽3시부터는 나와서 걸어오겠네 그런말씀이아니라. 자네가 직속상사인 나를 태우기 싫어하는데 다른 직원이라도 비슷하겠지 내 알아서 오겠네!! 아. 아닙니다. 제가 가겠습니다
협박 대화,0,왜 똑바로 안할꺼야? 지금 벌써 며칠이 지났는데 죄송합니다 그게 너 수행하다 방해꾼이 나타나서. 그건 니가 알아서 다 했어야지! 니가 못하면 어쩔 수 없지 네? 그게 무슨 무슨 말씀인지 니가 몸으로 떼워야지 자네 신장은 왜 멀쩡한가? 정말 죄송합니다 제대로 하겠습니다 그럼 제대로 해야지 아니면 니 신장하나 떼겠다. 저한테 너무하시는 거 아닙니까 너무하다고? 말귀를 못알아듣네 시간이 지연되면 니 안구도 하나 가져갈테니까 똑바로해 하 네 알겠습니다
기타 괴롭힘 대화,3,저기요! 아줌마 애기 좀 신경쓰시죠? 뭐요? 때와 장소를 가려서 뛰도록 교육해야지 이건 뭔. 하 어이가없네? 왜 당신이 교육을 제대로 안 시켰으니까 애가 괜히 욕 먹지 마세요! 아휴 맘충 뭐요 맘충? 네 맘충이요! 인성 좋았던 사람이 아기 낳는다고 갑자기 맘충이 되진 않죠 원래도 쓰레기였던 사람이 애를 낳으니까 이 꼴이죠 말 다했어? 맘충이라는 소리가 듣기 싫으면 애 관리 잘 좀 하세요
기타 괴롭힘 대화,3,당신 어디부서야 사장나오라그래 고객님 죄송합니다. 이건. 제 선에서는. 처리가 안되는 부분이고 규칙위반입니다. 저 손님이왕인데 장난치는거야 죄송합니다. 손님. 사장당장불러 경찰이신고하기전에
협박 대화,0,어이구 거기 누구든 담배 있으면 하나만 사다 주라!. 회사 갈때 가더라도 담배 한대 정도는 괜찮잖아? 응?! 돛대 한대 드려 오늘 이사회 날이냐?! 자성이한테 전해줘라 회장 자리를 다 앉고 새끼 출세했네!! 넵 거 진짜 죽기 딱 좋은 날씨네?! 이제 그만 가시지예요 아 잠시 나 아직 담배 다 안폈는데 뭘 다펴 임마 걍 죽어!
갈취 대화,1,어이 가방 좋은데!? 네!? 왜 왜 그러시죠 아니 우리가 밥을 굶어서 편의점에 라면이라도 사서 먹으려는데 돈이 부족해서 말이야 그런데요? 그런데는 뭐야 그런데요야 이 가방도 고급진거 보니 라면값 어느 정도는 도와 줄 수 있지 않을까 해서 내가 왜요? 왜긴 그래야 네가 여기 곱게 지나갈 수 있을테니까 저한테 돈 맡겨 놓은거가 아니시자나요 저리 비키세여 야 명품 가방 들고 다니면서 불쌍한 이웃 라면을 하나 사줄 마음은 없다 가방에서 기스라도 나야 사주려나? 어!? 빨리 이거 안 내놔? 제발 이러지 마세요. 선물 받은거란 말이에여
협박 대화,0,너는 바람핀 사실 남편한테 말할거야. 그건 안돼. 그럼 시키는 대로 다 할게. 시키는 대로?? 감당할 수 있겠어?? 제발. 제발 부탁이야. 그러면 오늘도 밤 나랑 있어줘. 그게 무슨 무슨 소리야? 시키는 대로 다 한다며 저질. 협박죄로 신고할거야. 그러면 너는 이혼을 하게 되겠지. 차라리 하고 말아. 법정에서 보자.
기타 괴롭힘 대화,3,아니 대체 제게 왜 그러세요?? 순이씨가 좋아서 그렇죠 왜 그러세요 불쾌 합니다 좋아서 그래요 자꾸 쫓아다니시면서 저는 너무 힘들어요 내일도 올게요 이시간에요 절대 오지 마세요 그건 제마음입니다 괴롭히지 마세요. 저는 기다릴겁니다.
기타 괴롭힘 대화,3,야! 다리 병신 그렇게 부르지 말라고 했잖아. 뭐가 어때? 너 다리가 병신 맞잖아. 그만하라고. 너 지금 나한테 명령하냐? 너 이게 다 뒤질려고 진짜.? 아. 잘못했어. 확! 그냥 나머지 다리도 병신으로 만들어 주기 전에 꺼져라 미안해. 빨리 꺼지라고 병신아. 아 너 다리 병신이라 빨리 못 꺼지네? 미안. 갈게.
기타 괴롭힘 대화,3,야 왕따 오늘은 또 뭔거 코디냐? 그런거 아냐 저딴 새끼는 돈도 없나 드럽게 왜 저런걸 입어 야 진짜 냄새나니까 좀 꺼져 미안해 미안한지 아는 새끼가 학교에 저러고 피해를 주네 그니까 너같은 새끼는 좀 사라져야돼 말이 심하다 심하긴 너같은 그 애가 사회에 악이라도 되는거야 그래 좀 뒤져라
기타 괴롭힘 대화,3,와. 00이봐. 엄청 먹는다. 그러게. 왜저렇게 많이 먹어. 저렇게 먹으니깐 관리가 잘 안돼지. 저는 오늘 처음 먹는 식사예요. 그래도 그렇게 먹으면 보기 않좋지 그래 적당히 많이만 먹어야지. 언제까지 살도 안빼고 그럴래. 곧 취업하고 결혼해야하는데 관리안한 여자를 누가 데려가니. 저 나름대로 열심히 지금 관리중인데. 00아 너가 걱정되서 하는 말이야. 살빼야지 언제까지 먹고 관리 안할꺼야. 그만먹어 네.
직장 내 괴롭힘 대화,2,김대리는 오늘 집이 좀 사나? 네? 아니 좀 사람이 다른거 같아서 무슨말씀이신지 어제 회식도 안오고 그냥 내키는대로 하는 기분파인가? 아닙니다. 아니 어제는 애가 아파서 그랬겠지 늘 이유가 있고 상황이 있겠지? 죄송합니다. 아니 아니야 남은 사람들만 바보고 병신들이지 생각코 자리 마련해서 우리 다같이 기운좀 좀 북돋아보자는 자리에서 자네같이 초치는 그런 사람들이 하나씩 있어? 그런 사람들을 보고 넌씨눈이라고들 하더라? 넌씨발눈치도없냐? 김대리 우리 눈치 챙기자 네 죄송합니다
기타 괴롭힘 대화,3,넌 근데 넌 왜 공부를 이따위로 잘 하지 못하냐.?? 오늘은 그저 컨디션이 나빴을 뿐이야. 너 전부터 계속 이 점수잖아. 재능이 없는것 같은데?? 더 열심히 해야지. 넌 가망 없다. 너 공부 때려치고 기술이나 배워. 뭔 말을 그렇게 하냐. 맞잖아. 재능없으면 금방 때려쳐야지 시간아깝게 그만해. 왜? 기분 나쁘냐? 그만하라고!!
협박 대화,0,빨리 대답을 안해? 생각하고 말해야만 할거 아니야 무슨 말이라도해 그냥 답답하니까 그래 알겠어 뭘알아 내가 잘못했어 잘못했으면 용서를 빌어. 또 대답 안하지 아니야. 미안해.
협박 대화,0,그 총 내려놔 왜? 그러지 않으면 여기 있는 물건 던질 거야 안 되 좋은 말 할때는 내 말 안 들어 어 그래 취소 안 들을래 내가 말을 듣지 않으면 폭파를 시킨다 헉
직장 내 괴롭힘 대화,2,일을 왜 이렇게만 처리해? 원래 하던 방식인데요 이렇게만 하면 안되지 그럼 다시 알려주시면서 시정하겠습니다 그런건 네가 알아서 해야지 저는 이방법만 알고 있어서요 하 문제가 더 많구만 죄송합니다 그런 태도가 더 큰 문제야 죄송합니다
협박 대화,0,너 내 마누라 만났지? 무슨소리에요? 형님 엊그제 둘이 길에서 같이 있는거 봤어 그냥 길가다 나와 마주쳐서 인사했어요 거짓말하지마 니년놈들이 헛짓거리 하고 다니는거 다 알아 오해해요 형님 아주 그냥 허허 웃느라 정신 없던데 오랜만이라 반가워서 안돼 그랬죠 헛소리마 나는 내가 본 것만 믿어. 니네 둘다 죽여버릴거야 정말 오해힙니다. 뒤통수 조심해라. 벽돌로 내리찍어 죽여버릴테니까. 눈에 띄지마 오해해요. 형님
기타 괴롭힘 대화,3,우리 소침떼기가 반장선거 나간대 나도 잘해 나갈 수 있어. 너같은 아싸가 어떻게 나를 이길 수 있을 그런 거 같아? 넌 나 죽어도 못이겨 그러니까 너무 애쓰지마. 그래 나 최선을 다해볼거야. 무슨 최선을 다해 반장선거에 그러니까 너가 그모양 그꼴인거야. 선. 생님. 저도 열심히 지원하겠습니다. 아니야 나 할 수 있어. 그래 노력해봐야 거기서 이겨야 거기지 이번에는 꼭 너 이길거야. 소침떼기가 나를 이긴데요! 그런데 너 따위가 나를 어떻게 이겨 못이겨. 노력하면 할 수 있어.
협박 대화,0,야 넌 죽어야하는 아이야 알고 알고 있지? 무슨 말이야 내가 왜 죽어야 하는 아이인데? 정말인지 몰라서 물어 니가 내 친구를 칼로 찔렀잖아. 친구 누구? 니 친구가 누군지도 모르는데. 나한테 왜그래. 장난해 넌 죽어야 한다고 죽어!!!! 제발. 나 진짜 아니야. 정신차려. 넌 지금 내 여친이 병원에 입원해있는데도 그래? 니가 죽였잖아. 아니야 나 아니야.! 닥쳐 너도 소중한걸 잃어봐야돼 니 여친도 똑같이 해줄게 기다리고 있어 내 여친은 도대체 무슨 잘못이야? 나 아니야.
직장 내 괴롭힘 대화,2,아 그럼. 그럼 막내씨가 커피 좀. 근데 제가 왜 꼭 커피 타야되나요? 어 당연하지. 막내잖아 나때는 더했어. 빨리 해 하. 여기요 뭐야 한숨을 왜 쉬어? 커피 타는게 그렇게 싫어??? 아닙니다. 아니 뭐야 이런걸로 또 기분 나빠져서 속으로 욕하는거야?? 아닙니다. 욕한적 없습니다. 그래? 그럼 저기있는 서류 정리도 오늘내로 다 다 해놔. 저걸로 다 요? 저 혼자서요? 어. 그럼 막내씨가 하지 누가 해 원래 다른팀 업무 아닌가요? 지금 바빠! 서로 좀 돕고 같이 살아야지. 막내씨가 다 해. 밤을 세워서라도 다 하고 집에 가!! 네.
협박 대화,0,야 야 이 씹새끼 아직 정신 못차렸네 좋게 말로만 하니까 말을 들어처먹질않네 미안해 몇 대 맞으면 정신 못 차리겠지? 아무리 그래도 나는 너희들이 시킨 일 못해 진짜 어디 한군데 부러져봐야 정신차리겠네 야 얘동생 있어 내동생왜? 니가 말을 안들으니까 니가 동생이라도 동생은 절대 건들지말아줘
기타 괴롭힘 대화,3,근데 이 커피가 왜이래 너무 너무 연하잖아 입맛에 맞지 않으시면 다시 만들어드리겠습니다 그걸 말이라고 해?? 네??? 아휴 정말 서비스가 엉망이네 고객님다시 만들어린다고 했는데요 그럼 왜 다시 안만들어줄 생각이엇냐고 아. 아는 무슨 아야 정말 이 카페는 마음에 쏙 드는 구석이 없어 죄송합니다
직장 내 괴롭힘 대화,2,민희씨 오늘 오후에 연가썼네? 네 어디가? 아들이랑 시간을 너무 못보낸것같아서요 아그래? 우리아들이랑 민희씨 아들이랑 같은 어린이집 다니잖아 아 맞아요 그럼 좀따 우리아들도 껴주라 네? 왜? 어차피 애엄마가 애 한명보나 애 두명보나 비슷하잖아 아니야? 아니아들이랑만 시간보내려구? 그래그래 우리아들이랑 얼마나 더한 상대적 박탈감을 느끼겟냐고 부탁좀 할게. 내가 어린이집 선생님한테 전화해놀게
협박 대화,0,그때 빌려간 건데 내 가방 좀 좀 더 돌려줘 싫은데? 내가 왜? 빌려간 지가 벌써 벌써 한 달이야. 내 알 바 아니잖아 부모님이 사주신거란 말이야. 나한테 정말 소중해 그거야 내 알바 아니고. 왜 그러게 누가 주제에 잘 안 안 맞게 이런 비싼 가방 가지고 다니래? 머저리 같은 새끼 제발. 부탁해 어차피 너한테 안 어울리는거 나 주면 왜 안되냐? 큭큭 무. 슨 소리야 돌려줘 그냥 나 달라고. 안 주면 네가 눈깔 뽑아버린다 뭐? 네 눈깔이랑 네 손모가지 잘려봐야 너가 정신차리지? 넌 누가 더 갑이고 누가 을인지. 나대지마 머저리 같은 새끼
기타 괴롭힘 대화,3,얘들아. 이 병신 년 몰골좀 봐. 야. 너 좀 씻고다녀. 우웩 너희가 지금 나한테 걸레물 뿌린 거잖아! 다 알어! 왜? 우리는 여기 화장 고치러 왜 온 건데? 우리가 있는 곳에 너가 온거고 맞아. 너 갑자기 왜 이렇게 젖어있니? 우리가 한 거도 아닌데? 더러우니까 빨리 좀 싹 꺼져줄래. 너네 두고봐. 이 병신년이. 도대체 지금 나한테 왜이러는거야? 내가 너네한테 뭐 잘못한거라도 있어? 그냥 너가 당할 때 표정이 너무 재밌어서? 근데 그게 이유라고. 난. 이 새끼. 그냥 싹 꺼지라니까
협박 대화,0,너의 모든 피를 다 뽑아가겠다 무슨 짓이오! 살려주시오 소리쳐도 소용 없어! 오오 맙소사 이게 무슨 일이오! 허나 나는 이 사람들의 피를 뽑아 마시는 변태적 취향이 있지 제발 나를 좀 살려주시오 부탁이오 자네의 피는 신선할 것 같군 오오 하느님 맙소사 자 이리 가까이 오시게 사람살려! 거기 누구 없소!
협박 대화,0,저기요 주차 좀 똑바로 해주세요 뭐 이새끼야? 니 층에 살지? 그걸 왜 물어보세요. 주차나 제대로 하세요 미쳤냐? 그럼 니 집에 불 질러줄까? 니 애도 있잖아? 니 가족을 왜? 왜 건드세요. 니는 내가 주차 어떻게하든 왜 상관인데? 다른사람한테 민폐 끼치잖아요 뭐? 어쩌라고. 그런거 못 느끼게 조만간 니 집에 찾아가줄게 그만하세요. 그럼 한번만 더 주차니 뭐니 말 꺼내면 새벽에 불지르러 안 간다 조심해라.
협박 대화,0,제발 좀 조용히 해 주시죠. 상관 마. 자정이 넘었는데 고성방가로 주변 사람이 큰 피해를 입고 있지 않습니까. 자유민주주의 자유민주주의 자유민주주의 국가에서 내가 니 맘대로 하겠다는데 니가 뭔데 이래라저래라야 타인에게 피해를 안 주면 그건 더 이상 존중받을 자유가 아니죠. 아니 그래서 뭐 어쩌겠다고 계속 시끄럽게 하면 신고하겠습니다 해 봐! 네 알겠습니다. 왜 그래! 어디 한번 해 보라고. 너 저기 저 집에 살지? 넌 내가 너네 집이 어딨는지도 다 알아. 아주 그냥 막 불을 질러서. 너희 가족 싹 없애버려줄까? 소음공해에 협박까지 하고 계시네요.
협박 대화,0,너 그따위로 운전하면 확 갈아마셔버린다. 뭐라구? 나와 이 새끼 자식아. 미안하단 말도 전혀 없는 네가 입을 확 찢어버린다. 이 새끼가 어디서. 어딜 자꾸만 쳐다봐 그 눈을 그냥 확 뽑아버린다 이런 새끼 쓰레기를 봤나 나와서 무릎 꿇어. 어! 안그럼 니 무릎을 골프채로 확 아작 내버릴테니. 꺼져 새꺄 겁대가리를 상실했구나 이 새끼가. 일단 니가 못된 손가락부터 하나 잘라서 쓰레기통에 쳐넣자 보자보자 하니 이 새끼 쓰레기가.
직장 내 괴롭힘 대화,2,아니 김 대리. 다음 주에 휴가 못 썼다며? 네. 자기 일거리는 잘 못 찾으면서 휴가는 잘도 찾아쓰네. 팀장님한테 다음 주에 못 간다고 말씀드려. 네? 아니 귓구멍이 막혔나? 너 휴가 못 간다고. 네? 무슨 말씀인지. 다음 다음 주에 나 휴가 쓸거니까 너 휴가 못 간다고. 저도 그렇게 되면 사정이. 아니 이 새끼가.
