idx,class,conversation
239,일반 대화,"아 코로나 때문에 온 세계가 난리 난 것도 이제 벌써 1년도 훌쩍 넘었어요!
백신만 맞으면 끝날 줄 알았는데 아직까지 마스크 쓰고 다녀야 하다니...
맞아요 코로나는 대체 언제 끝나는 거예요?
아이들이 학교를 제대로 못 가고 마스크 쓰고 가는 게 제일 안타까워요
맞아요 우리 조카는 마스크 안 쓰고 다녔던 게 생각이 안 난대요
마스크 벗으면 어색할 것 같다고...
정말 마스크 안 쓰고 다녔던 게 전생 같아요!
저는 원래 외국에 취업해서 가려고 했는데 못 가게 됐잖아요
어머 어떡해요 그래도 우리랑 같이 있으니까 저는 좋은데...
안 가셨으면 좋겠어요
저두요! 그러고 보니 코로나가 좋은 거 하나 선물해줬네요!
이제는 강아지 데려와서 못 가게 됐죠 뭐
저 며칠 전에 백신 맞았는데 죽은 사람들도 있어서 좀 쫄았지 뭐예요
저두요 젊은 사람일수록 아프다고 해서 좀 얼었어요
전 1차는 좀 힘들었는데 2차는 괜찮더라구요
두 번 다 맞았으니 마스크 벗고 싶어요
마스크 안 쓴 세상이 그리워요
저두요 사람들 얼굴을 제대로 보고 얘기했으면 좋겠어요
화장 안 해도 되는 건 편하지만 그래도 벗고 편하게 사람들 만나고 싶어요
마스크 안 쓴 사람이 있으면 저도 모르게 인상 쓰는데 사람들끼리 그러는 게 씁쓸해요
맞아요 마스크 안 쓴 사람 있으면 멀리 피하죠
사람들이 서로 피하게 된 게 가장 슬프더라구요
맞아요 이런 세상은 정말 상상도 못했어요
아이들이 제일 불쌍한 것 같아요
학교를 못 간다니 너무 안타까워요
빨리 코로나가 끝났으면 좋겠어요
맞아요 아이들끼리 신나게 뛰어 놀아야 하는데 말이죠
저도 개강 했는데 학교 못 가고 온라인으로 수업 해요"
240,일반 대화,"아프가니스탄에서 미군이 철수하고 탈레반이 장악해서 거기 난리도 아니더라구요
그러게요 우리 나라에도 난민들 들어왔잖아요
저 몰랐는데 시리아 난민들도 이미 들어와 있던데요
여자들이 가장 큰 피해를 입는 것 같아요
맞아요 왜 힘 없는 여자들을 그렇게 억압하는지 모르겠어요
TV에서 눈만 내놓고 머리부터 발 끝까지 가리는 옷 보고 깜짝 놀랐어요
여자 축구팀 선수들도 파키스탄으로 망명했대요
저 실제로 그 옷을 본 적 있었는데 소름이 돋을 정도였어요
신문 보니까 다른 나라로 망명한 여자들이 전통 의상을 입고 시위 비슷한 걸 하던데 전통 의상이 너무 아름답더라구요
아프가니스탄도 탈레반이 장악하기 전 70년대에는 자유로웠나 봐요
맞아요 여자들이 미니스커트 입은 사진 봤어요
탈레반도 어머니도 있고 여자 형제도 있을 텐데 왜 그럴까요
그러게요 거기서 많은 사람이 죽고 다치고 있어서 맘이 안 좋아요
우리 나라는 난민들 받아주는 문제에 찬반 논쟁이 뜨겁더라구요
받아주는 것도 문제가 있겠지만 안 받아주면 그 사람들은 갈 곳이 없잖아요
유럽에선 제 3국에 돈을 주고 난민을 받아주라고 하나 봐요
유럽은 시리아 때 난민 문제로 골머리를 썩었으니까요
그때 피난 온 사람들은 어떻게 살고 있을까요
중동 지역은 너무 분쟁이 많아요
종교가 큰 원인인데 전 이해가 안 가요
종교는 평화롭게 만들어줘야 하지 않아요?
맞아요 신이 다른 사람을 죽이라고 하진 않았을 텐데요
신이 남자들을 우선하라고 가르쳤을까요?
그러게요 종교의 이름으로 너무 많은 학대가 있어왔어요
맞아요 전 그런 게 종교일 수 있다고 생각하지 않아요"
241,일반 대화,"저 요새 바빠서 피부과도 못 다니고 있잖아요
피부과요? 피부 좋은데 왜 피부과를 다녀요?
요새는 문제가 없어도 그냥 관리하러 많이 다니더라구요
저도 그냥 관리하러 다녀요
관리 받고 나면 확실히 다르거든요
음 그래서 피부가 부드럽고 깨끗한가 봐요
저도 한번 가보고 싶어요
피부는 젊을 때부터 관리해줘야 해요
맞아요 무엇보다 자외선이 가장 큰 적이니 선크림을 꼭 발라요
앗 전 선크림이 끈적여서 잘 안 발랐는데 이제 발라야겠어요
선크림 안 끈적이는 것도 요새 많이 나왔어요
맞아요 저도 선크림 싫어서 선스틱 발라요
누가 선물로 선스틱 준 거 그냥 처박아 놨는데 발라야겠어요!
꼭 발라요! 자외선 자꾸 쐬면 주름살 생겨요
맞아요 저는 선스틱 안 바르면 밖에 안 나가요
헐 전 지금까지 맨 얼굴로 막 다녔어요
그러면 안 돼요 아직 젊은데 화장도 예쁘게 하고 다녀야죠
전 여름톤 피부라서 분홍색 위주의 화장품이 잘 맞아요
전 무슨 톤 피부인지 궁금해요
사실 전문가가 봐야 하는데 그냥 제 느낌에는 봄이나 가을 톤 같아요
흠 입술에 분홍색이 어울려요? 주황색이 어울려요?
주황색이 어울릴 것 같은데 그럼 무슨 톤이에요?
그럼 봄 아니면 가을 톤이에요
자기 피부 톤에 맞게 화장하고 옷 입으면 확실히 달라 보여요
그럼 저도 앞으로 그렇게 해볼게요!"
242,일반 대화,"저 이번 연도에 건강검진 하는 해예요
어머 정말요? 저도 이번 해에 건강검진 해요
그거 2년에 한 번씩 하는 거죠?
맞아요 코로나 때문에 병원 가기가 꺼려져요
저도요 그리고 피 뽑는 게 무서워서 병원 가기도 무서워요
저는 주사가 세상에서 제일 싫어요
검진 받으러 가야 하는데 계속 미뤘어요 허허허
저도요 스케일링 매년 해야 하는데 작년과 재작년에 못 했어요
다들 상황이 비슷하네요
저는 원래 병원 가는 걸 싫어해요
저 위 내시경 한 지 아주 오래돼서 이번에는 할까 생각 중이에요
저 수면 내시경으로 하다가 막 난리 쳐서 피가 사방에 튀고 의사 선생님 가운에도 튄 적 있어요
선생님이 다음엔 그냥 내시경으로 하자고 하는데 그건 너무 무서워요
위 내시경을 수면 말고 그냥으로도 한단 말이에요?
그냥 하는 사람도 있나 보던데 저도 그건 못하겠어요
저도 그 뒤로는 위 내시경 안 해봐서 이제 할 때가 됐어요
저도 한 번도 안 해봤는데 전 아직 안 해도 되는 나이라서요
저도 아직 대장 내시경은 안 해도 되는 나이에요
전 이제 할 나이가 됐는데 위 내시경도 무서운데 대장 내시경은 못할 노릇일 것 같아요
대장 내시경은 항문에 내시경을 넣는 건가요?
맞아요 그러니까 굉장히 민망한 상황인 거죠
저도 대장 내시경은 할 엄두가 안 나요
근데 어느 정도 나이가 되면 정기적으로 하는 게 좋죠
그럼요 수면으로 하니까 잠깐 자면 끝날 거예요
수면 내시경 할 때 주사 넣는 것도 무서워요
언니는 정말 겁이 많으시군요!"
243,일반 대화,"저 사료 사야 하는데 언니는 어디서 사셨어요?
저 반했어펫샵이라는 데서 샀어요
저도 지금 먹는 사료가 알러지가 있는 것 같아서 바꾸려고요
그럼 같이 사서 나누면 더 싸게 살 수 있어요
좋아요! 집 앞에 있는 애견용품점은 인터넷보다 비싸더라구요
저 거기서 장난감 사봤는데 나중에 인터넷과 비교하니까 정말 비쌌어요
인터넷 최저가로 사면 오프라인보다 훨씬 싸요
그럼 우리 같이 사서 삼등분해요
좋죠! 그럼 누구 한 명이 대표로 주문해요
제가 할게요
강아지 몸무게랑 정보 입력하면 하루 사료량을 계산해서 준대요
맞아요 저는 한번 주문해봐서 사료량이 뭔지 알아요
전 모르니까 제 것도 입력해주세요
네네 앗 근데 방금 연락해봤는데 우리가 필요한 제품이 입고가 늦어진대요
정말요? 사료가 모자라서 빨리 와야 하는데 큰일이네요
전 아직 좀 많이 남아있어서 괜찮아요
많이 늦어지진 않고 내일은 입고/발송 가능하대요
그 정도면 괜찮아요
이번 주까지 먹을 건 있거든요
전 아무 때나 와도 괜찮아요
거기서 원래 당일 발송이라고 써 놨는데 안 돼서 미안하다고 5천 원짜리 쿠폰을 준대요
정말요? 요새는 경쟁이 치열해서 서비스가 좋다니까요
맞아요 하도 여러 군데가 있으니까요
조금이라도 불친절하면 바로 다른 데 가면 되니까 신경 많이 써요
소비자 입장에선 좋지만 판매자들이 힘든 일이 많을 것 같아요
맞아요 뭐 하나가 잘된다면 너도 나도 뛰어들잖아요"
244,일반 대화,"저 요새 강아지 때문에 TV 볼 시간이 없다니까요
저도 그래요 전에는 넷플릭스 보는 게 취미였는데 말이죠
아 그래요? 전 요새도 자주 보는데 언니들은 안 봐요?
전 아주 가끔 밤에만 봐요
낮에는 너무 바빠서요
저도 월요일 밤에 하는 개훌륭만 가끔 봐요
저도 강아지 나오는 프로 보면서 배우려고 해요
근데 그건 또 너무 늦게 해서 끝까지 본 적이 없어요
저도요 중간쯤 되면 너무 졸려서 자버려요
언니들은 저보다 일찍 주무시는군요
요새 넷플릭스에서 재미있는 거 해요?
저도 안 봐서…
디즈니 플러스 채널 새로 나온다고 저도 한창 번역 많이 했어요
디즈니 채널이면 재미있는 거 많이 하겠네요?
오 저도 디즈니 채널은 애들 보는 거니까 번역이 쉬울 것 같아요
애들 보는 것도 있지만 그렇지 않은 프로그램도 많아요
디즈니면 인어공주랑 알라딘 같은 것만 생각나는데요
애들 보는 프로그램은 금방 번역하시죠?
네! 그런데 그런 거 번역할 기회는 아주 적다는 게 함정이죠
언니는 번역하면서 다양한 프로그램을 많이 보셨겠어요?
영상 번역은 드라마 보면서 하니까 재미있을 것 같아요
네 저도 문서 번역보다 재미있어요
근데 드라마 자막 보면 이상한 번역도 많더라구요
맞아요 그리고 다운 받아서 보는 드라마는 정말 심했어요
그런 번역 보면 드라마가 이해가 안 돼요
맞아요 영어를 모르면 무슨 내용인지 몰라요"
245,일반 대화,"코로나 때문에 영화관 간 적이 몇 년 된 것 같아요
저도요 요새 다른 사람들은 영화관 가나요?
가는 사람은 가죠!
마스크 쓰고 콜라나 팝콘 같은 건 못 먹어요
영화관 가서 영화 보던 때가 그리워요
저도요 전 스릴러 좋아하는데 두 분은 어떤 영화 좋아해요?
전 신나는 액션 영화가 제일 좋아요
전 로맨틱 영화 좋아하고 스릴러나 공포처럼 심장 쫄깃해지는 건 싫어요
전 로맨틱 영화 보면 너무 졸려요
저랑 안 맞는 것 같아요
그래서 제가 연애를 못하나 봐요
하하 로맨틱 영화 보면 연애 잘하나요?
전 공포 영화를 극장에서 한 번 보다가 중간에 나왔어요
무슨 영화였는데요?
저도 너무 무서운 건 못 봐요
저도 무서운 거 혼자 못 봐요
영화 ‘곡성’ 보다가 나온 거였어요
아 그거 한때 유명했죠
전 끝까지 봤는데 분위기가 진짜 오싹했죠
저 그거 안 봤는데 그렇게 무서워요?
네 기괴한 영화인데 무슨 내용인지도 모르겠어요
맞아요 영화가 난해 해서 해석마다 다르더라구요
‘추격자’ 만든 나홍진 감독 맞죠?
‘추격자’는 재미있게 봤어요
맞아요 저도 ‘추격자’는 재미있게 봤는데 ‘곡성’은 보기 힘들었어요
나홍진 감독은 매니아들이 있더라구요
근데 그 감독은 영화를 그렇게 많이 만들진 않았어요
네 ‘곡성’과 ‘추격자’가 제일 유명하죠
전 ‘곡성’을 흥미롭게 봐서 그 감독의 다음 영화가 기대돼요
전 그런 스타일은 별로 좋아하지 않아서요"
246,일반 대화,"저녁 식사 뭐하지 하다가 삼계탕 먹었네 후 배불러
난 방금 짜장면에 공기밥 주문함 ㅋ
탕수육은 세트로 안 시킴? 키키
고민했는데 아낄라고 안 시킴 ㅜㅜ
우리 동네 중국집 맛집 많은데
거기는 다 맛있었던 거 같다 ㅋ
나 어제 아빠랑 외식 하러 홍콩반점 갔다가 빡쳐 가지거
왜? 맛없었음? 머리카락 나옴?
2시에 갔는데 밥 먹어야 되니까 30분 기다리라 하대 키키
배가 불렀네 키키 기다렸나 키키
내 어이 없어서 본사 홈피에 브레이크타임 몇 시냐고 또 안내 왜 그렇게 나가냐고 따짐 키키
답변은 왔음? 키키 뭐라 할지 궁금하네 키키
바로 전화 와서 사과하던데 키키 다른 집 갔지 두말도 안 했다 키키
대응은 빠르네 키키 우리 동네에도 홍콩반점 생기는데 ㅋ
밥집은 맛집이고 뭐고 불친절하면 다시는 안 가게 됨
이 시기에 장사 잘 되는가? 힘든데 한 명이라도 오면 친절하게 해야 하지 않나?"
247,일반 대화,"울 동네 살 때 월세 얼마였지?
얼마였지... 40내외였나? 기억도 안 난다...
보증금은 얼마나 냈었지?
보증금도 기억 전혀 안 난다 키키 늙었나 보다 키키
집도 쪼매 났었는데 월세 셌었네 ㅠㅠ
그 후에 1년 정도 지나고 걍 심심해서 방 구경하다가 내 살던데 봤는데 엄청 싸졌던데
엄마랑 싸워서 경성대랑 수영 쪽에 원룸 알아보고 있거덩
헐... 나오면 돈 많이 든다 ㅜㅜ
맞다 보증금은 문제가 아닌데 월세가 부담돼서...
월세도 월세지만 생활비 다하면 돈도 잘 안 모임 ㅜㅜ
완전 구린 데는 보증금 100에 30짜리도 있긴 하더라 키키 고시원 수준
헐... 난 시골에 살아보니까 이제 도시에서 생활 못하겠다 ㅋ 시골이 싸고 넓음 ㅋ
시골 ㅠㅠ 난 이 동네에서 전세로 하기엔 또 돈이 없어...
전세금 대출 그런 거 안됨?
되긴 하는데 알아보기 귀찮네 키키
알아 보고 서류 준비하고 그런 거 귀찮지 ㅎ"
248,일반 대화,"차 산다더니 샀었어?
경차 알아 보고 있음 ㅋ 시골로 이사 가면 차 없으면 못 움직이니까 ㅋ
그때 대마도에서 타던 차는? 키키
그거 살 때 20만엔 줬었는데 10만엔에 팔았음 ㅋ
일본 차 경차 예쁜 거 많잖아
경차 예쁜 거는 비싸다 ㅋ
돈도 없는데 그냥 굴러 가는 거 대충 사야지 ㅜㅜ
도요타에 프리우스 차 많이 타더만 일본 사람들은
요새는 경차보다 그런 하이브리드나 전기차가 인기 많다 하데
맞지 전기차 키키 이번에 현대에서 캐스퍼라고 경차 하나 귀여운 거 출시됨
그래? 혹시 SUV?
그렇게 생겼는데 엄청 작더라
니는 차 안 바꾸나? 하하
바꾸고 싶지 ㅠㅠ 전기차는 제주도에서 렌트 해봤는데 아직 좀 불편할 듯
충전하는 데가 잘 없음?
응 부산은 더할걸?
내 차는 지금 6만키로 다 되가서 슬슬 소모품 갈이도 해야 되고 생각 좀 해봐야겠네
6만키로... 난 그런 거도 잘 모른다 ㅋ 걍 굴러가면 타고 다녔지 ㅋ"
249,일반 대화,"나는 여객선이 첫 직장 생활이었음
나도 여객선이 첫 직장 ㅋ 대학 동아리 같고 재밌었는데 하하
짧았지만 재밌었다 키키 회식이 재밌었지 키키
생각해보면 둘 다 첫 직장에서 알게 되고 10년 다됐네 키키
지금 다니는 데는 어떻노? 하하
좋았는데 키키 코로나 때매 작살 났지 머
한국 얼마 전에 코로나 엄청 늘었다던데 상황이 나아지질 않네
내 말이 ㅠㅠ 너는 지금 회사는 왜 사직서 낸 거임?
작년 말부터 연봉 조정해야겠다고 가만있는 사람한테 바람 넣더만 벌써 1년이 다돼감 키키 걍 답 없는 거 같아서 하하
헐 결국 연봉 협상 이런 게 결렬돼서 그런 이유가 크네
협상 그런 거도 없다 키키 갑자기 없던 평가 제도 생겨서 뭔가 이상하게 꼬임 키키
업무 같은 거는 ? 힘들거나 그렇진 않았고?
일 자체는 재밌었지 ㅎ 원래 프로그래밍 좋아하니까 하하
그럼 다음 이직도 똑같은 업종으로?
아마 다른 업종일 듯 ㅋ 취미나 부업으로 해야 할 꺼 같다 키키
경력도 많고 하니까 더 좋은 데로 이직 되겠지
IT 하면서 딱히 좋았던 적이 없었던 거 같아서"
250,일반 대화,"군대 해병대로 갔다 그랬었지?
응 ㅎ 연평도에서 군생활했다 ㅎ
왜 지원한 거야 키키 이유가 있었음?
고딩 때 남자 답고 멋있어 보여서 특전사니 UDT니 엄청 검색했었는데 시력 때문에 해병대 지원함 하하
일반 육군보다 더 힘든 거 아님?
아니다 ㅋ 어차피 군 생활 다 자기가 제일 힘든 거다 키키
시력 나쁘면 특전사 이런 건 못 가나 보네?
어 ㅎ 기준이 얼마였는지는 기억 안 나는데 전부 시력 때문에 애초에 지원조차 안 했다 ㅜ
그때 시력이 얼마였기에 키키
그때 0.4정도였나? 더 낮았던가?
그러고 보니까 내 친구도 연평도로 군대 간 애 있었는데 키키
오 진짜? 몇 기? 키키
그건 몰겠고 키키 걍 키키 그때 8개월 만에 휴가 나왔다고 울던 거 기억남
헐 키키 울었다고? 왜? 키키
너무 오래 박혀있어서 서럽다던데 키키
군 생활 할만했나 보네 그런 거 서러워할 여유도 있고 키키"
251,일반 대화,"학교 다닐 때 사교육 받았음? 학원이라든지
학원 다니긴 했었는데 거의 한 두 달 다니다 말고 그런 식? 고3 때 몇 달 개인 과외 받았었고
오 개인 과외 키키 난 철저히 공교육만 키키
고3 모의고사 쳤는데 영어 30점인가 나옴 키키
왜 그렇노 키키 사교육 영 엉망이었네 키키
아니 과외 받기 전에 키키 방학 끝나고 영어 80점인가 나옴 ㅋ 과외 덕 좀 보긴 했다 ㅋ 수능에서 망쳤지만 ㅋ
이욜 키키 난 모의고사 성적 3월에 20점이었는데 9월 모고에 95점 받았던 기억난다 키키
와 키키 대박이네 키키 무슨 과목?
영어 키키 이 악물고 독하게 EBS 팠던 거 같은데
EBS 우리 때부터 사람들 많이 봤지 않나? 온라인 강의 그런 거 막 생기면서
맞아 키키 EBS로 한국지리도 8점? 받았다가 수능 만점 받았었고 키키
와... 대박이네 키키 내가 들어본 점수 중에 제일 많이 오른 사람이다 키키
그래서 원래 진로 상담하면 대충 암 때나 말했었는데 키키 점점 지망 학교를 올렸지
올 키키 어디까지 넣었는데?
9월은 솔까 스카이 근처까지 감 키키
근데 우리 때 물수능이었잖아 키키 개나 소나 잘쳐서 키키 난 망했음 키키
난 애초에 포기했어서 물수능인지 기억조차 안 난다 키키 찜질방에서 점수 확인한 거 기억남 키키"
252,일반 대화,"곧 명절인데 어머니께 전화 드림?
아니... 주말에 전화해야겠다 엄마 추석 다음날 음력 생일인데
헐 진짜? 너 없어서 쓸쓸하신 거 아니가 ㅠ
그래도 부산, 경남에 친척들 많아서 괜찮다 ㅜ 아마도 ㅜㅜ
나는 친척이 많이 없어서 ㅠ
난 친척은 적지는 않은 거 같은데 형제 많은 게 부럽더라
그래도 너는 외동이라도 사촌 형 누나 동생들 좀 있었겠네?
어 사촌들 좀 있는데 나이 먹으니까 연락도 거의 안 하게 됨...
나는 어릴 때도 집에 어린이가 나밖에 없었는데
진짜? 사촌 몇 명 있는데?
나보다 열 살 어린 동생 하나? 근데 솔직히 외동이라서 크게 외롭고 이런 건 없었거든
하긴 인기녀라서 외로울 틈이 없었겠다... 부럽...
머래 키키 그런 건 아니고 키키
근데 이번에 아빠 편찮으시고 하니까 참 형제 없는 게 조금 안 좋더라
집에 큰 일 있을 때 형제 많은 게 좋다고 다들 그러던데 이제 실감할 나이가 됐네 ㅜㅜ
맞다 키키 부모님 편찮으시면 제일 크게 오는 거 같네
외동이니까 어릴 적엔 부모님께 의지만 하다가 이제 혼자 부모님 의지가 돼야 함..."
253,일반 대화,"주말에 또 결혼식 가야 한다
누구? 요즘 코로나 때문에 미루는 사람도 많던데
같이 일하는 사람 키키 코로나라도 결혼할 사람은 다하네
하긴... 코로나 아니라도 내가 결혼할 수 있는 거도 아니고 ㅋ
결혼식 할 때마다 축의금 때문에 돌겠네 키키
보통 얼마냄? 기준 같은 거 있음?
5만원도 이제는 손 부끄럽던데... 그나저나 이때까지 낸 축의금 돌려 받겠냐고 ㅠㅠ
요전에 얘기했던 사람이랑은 잘 만나고 있나? 곧 돌려받는 거 아니가? 하하
모르겠다 키키 만나기는 하는데
모르면 어떡하노 키키 전에 듣기로는 괜찮은 사람인 거 같더만
저번에 내 친구가 나보고 남성 편력이라 그랬거든
엥? 그런가? 내가 보기엔 아닌 거 같은데
몰라 키키 누굴 만나도 이래서 싫고 저래서 싫고 결혼 못할 거라고
그래도 이래저래 만나다 보면 맞는 사람 만나겠지 하하
이제 3개월 됐고 잘해주기도 잘해주는데 뭔가 키키 모르겠다 키키
어떤 부분이 신경 쓰이는데? 공부 좀 해 놔야겠다 ㅋ"
254,일반 대화,"인스타보니 내 친구 시바견 입양했더라
우와아아아아아아앙ㅇ아 왕왕 멍멍 왈왈왈
나도 강아지 고양이 키우고 싶다 ㅜㅜ
3개월 됐다는데 엄청 귀여움 이름도 토모쨩
토모쨩 토모니 이코~ 키키
나도 반려동물 기르게 되면 ㅠㅠ 잘해줄 수 있는데
근데 예방 접종에 이것저것 신경쓸 게 많아서 진짜 책임감 없으면 키우면 안되겠더라
맞다 그리고 요즘은 유기견도 입양 많이 하던데
그래도 난 고양이가 좋음 ㅎ
로또 당첨되면 난 유기견부터 입양할 거다 상처 받은 영혼 호강 시켜 주겠셔
로또 당첨되면 나도 좀 입양해주면 안될까? ㅜㅜ
키키 우리 집 집사가 키키 난 고양이는 알러지 때매 무리데쓰
난 대마도 돌아가서 고양이 키우는 게 꿈임 키키 나도 고양이 알러지 있는데 진짜 울면서 키울 꺼다 키키
니도 있나 보네 키키 오늘도 학원에서 고양이 안고 하다가 눈 바로 벌개짐
나도 눈 벌개지다가 심할 때는 흰자위에 물집처럼 수포 생기던데
나도 맨날 뭐 덩어리 진다 ㅠㅠ
내 나중에 엄청 귀여운 고양이 사진 하나 보내줄게 키키 심쿵할 걸
오오 키키 말만 들어도 이미 심장이 내려앉았다 키키"
255,일반 대화,"니 스포츠 잘하는 거 있나? 할 줄 아는 거
할 줄 아는 건 다양한데 잘하는 건 없는 듯 키키
난 그놈의 볼링은 쳐도 쳐도 안느냐
요즘도 볼링 치러 다님? 같이 볼링치고 그럴 때 참 재밌었는데
한 번씩 치는데 공이 옆으로 감 키키 짜증나 ㅠㅠ 안 늘어
하다 보면 늘겠지 하하 유튜브로 공부해라 키키 볼링 강의도 있던데 키키
하... 남자면 조기 축구회 나가고 싶다
조기 축구... 뭔가 아저씨 느낌이 강해서...
키키 아침마다 뛰어서 폐활량도 좀 되는데 이제 키키
나도 퇴사하면 아침저녁으로 좀 뛰... 걸어야겠다 ㅋ
취미로 뭐 하나 배워야지 싶다
탁구는 별로 관심 없나?
탁구? 울 동네에 있긴 한데 키키 테니스도 배우고 싶은데 넘 비싸
내 대마도에서 탁구 배우고 고딩 때는 우리 학교 체육 시간에 항상 테니스했음 ㅋ 가르쳐주까 키키
오 좋지 먼가 귀족 스포츠 같아
테니스의 왕자인가 그런 애니메이션도 있었던 거 같은데 키키 인터넷에서 보니까 지구 박살 낸다고 키키"
256,일반 대화,"갑자기 철권 하고 싶당
철권 할 줄 아나? 내가 아는 여자들 중에 철권 하는 사람 니가 두번째임 ㅎ
진으로 하면 엄청 잘하는데 키키 서브가 좀 약하네 키키
나는 근데 어릴 때는 철권보다 킹오파 키키
진 하면 서브로 카즈야가 기술 비슷하지 않음? 킹오파는 내 초딩 때 이후로 안 해봤는데 ㅋ
카즈야는 좀 싫다 키키 외모도 싫음ㅋ 머리 스타일 구려
그럼 헤이하치? 키키 머리 스타일 멋있는데 키키
킹오파에 베니마루 오빠가 참 쌔끈한데...
난 베니마루 뭔가 여성스러워서 좀... 무서움...
나 킹오파 모바일로도 다운 받아서 겁나 했음 키키 킹오브파이터 올스터즈
킹오파는 진짜 안 한지 너무 오래돼서 그게 뭔지도 모르겠다 ㅋ
나 길드장까지 하면서 열나 했는데 키키 현질 안 하면 오로치 뽑기 하늘에 별 따기라 접음
모바일 게임도 그렇고 요즘은 현질 안 하면 힘들어서 걍 콘솔 게임 하는 게 나은 거 같다
여성스러운 캐릭하니까 킹이라고 웨이터복장 캐릭터는 여자가 맞는 거지? 발차기 겁나 하는 애
철권 얘기하다가 킹오파 킹 얘기하니까 고양이 킹 생각했다 키키
발차기 하는 여자 캐릭터 맞음 키키
킹오파는 뭐니 뭐니해도 마이 미만 잡이다
마이 키키 초딩 때 얍삽이 배워서 마이 많이 했었는데 키키"
257,일반 대화,"우리 제주도 여행 갔던 거 생각 난당
나도 가끔 생각난다 ㅋ 얼마 전에 아이클라우드에 사진 백업하다가 대량으로 보고 추억에 빠져들었었음 ㅋ
게하 너무 웃김 키키 산방산 온천게하 키키
그 형 누나들 만난데? 아침에 경찰 오고?
응 키키 내가 니 여자 연락처 따줄랬는데 키키 남자만 드글드글
키키 내 챙겨주는 건 진짜 니 밖에 없다 키키 노래방에서 몰아주기 한다고 다들 찡그리고 찍은 사진도 있다 ㅋ
키키 아니 근데 키키 앉았는데 테이블에 키키 6명 테이블에 5명이 남자야 키키
그래도 6명 남자 아니라서 다행 ㅋ
결국에 펜션 빌려서 술 더 마시는데 니 얼굴 벌개서 아빠 다리하고 형님이랑 이야기하고 있고 키키
그래? 키키 아 기억난다 키키 근데 펜션에서 술 마실 때는 여자도 몇 명 있었던 거 같은데? 키키
난 동갑 남자애랑 둘이서 담배 핀 거만 기억에 선명하지 키키
그래도 거기서 그 사람들 만나서 담날 여행 안 했음 진짜 우도도 우리 30분 컷이었던 거 알지? 키키
어어 진짜 좋은 사람들 만나서 편하게 재밌게 놀았다 키키
귀찮았는데 막상 내려서 가보면 우도 진짜 여기저기 다 예뻤어
그러게 하하 땅콩 아이스크림 먹고 키키 바닷가 걷고 키키
쪽수가 많아서 칼치 구이도 먹고 조림도 먹고 키키
그러게 키키 진짜 운이 좋았다 키키 비싸서 둘 중에 뭐 먹어야 하나 고민했었는데 키키"
258,일반 대화,"태풍이 오기는 오려나 보네
퇴근할 때 직장 동료가 일기예보 보여주던데 오사카 직격이던데 ㅜㅜ
헐 부산도 오늘 밤부터 비 오고 내일 태풍 영향권이라 하던데
하지만 난 은둔형 외톨이라 태풍 따위 상관없지 ㅎ
출근 안 함? 키키 여름에도 안 오던 태풍이 추석 앞두고 뭐여
아 출근... 태풍 오면 좀 재택 근무 시켜주지 귀찮게 ㅜㅜ
그니까 출근할 때 태풍 오면 비 오고 바람 불고 싫다 ㅠㅠ
꿉꿉하면 찝찝하고 움직이기 싫은데 ㅜㅜ
태풍 지나가고 나면 레알 가을이겠네
다음 주부터 좀 선선해지려나? 이제 출퇴근 길에 땀 좀 그만 흘리고 싶다
나는 가을 진짜 많이 타는데 ㅜㅜ
가을에 약간 기분 다운되고 그럼?
어 ㅠㅠ 가을 되면 쓸쓸하고 노래 들어도 눈물이 주르르
헝... 난 둔해서 그런 거 잘 모르겠던데... 오히려 봄이 더 쓸쓸함 ㅜㅜ
여름을 좋아해서 아쉬운 거 같기도 하고
이번 여름에 어디 놀러 갔나? 코로나 때문에 아무데도 못 감?"
259,일반 대화,"한국 계속 확진자 2천 명 넘네
진짜? 내년에는 좀 잠잠해지려나 했는데 끝이 안 보이네
나 이제 화이자 2차 접종하고 2주 되네
오 그럼 다 맞았네? 부작용 없더나?
난 다음 주 월요일에 모더나 맞는데
난 없는데 부작용 말 많지 그리고 접종율은 계속 오르는데 확진자는 뭐 사그라들질 않네?
확진자 소식 들으면 백신이 의미가 있나 싶은 생각도 들던데...
화이자 맞고 얼마 전에 20대 30대 기저 질환 없는 사람들 다 죽었잖아. 소장이 괴사돼서 잘라내기도 했다던데
헐? 진짜? 백신 맞고 죽으면 어떻게 됨?
국가에서 보상해줌?
아니 인과 관계 없음 키키 그렇게 발표하지
화이자 맞고 부작용으로 백혈병 걸렸다는 사람들 기사도 있더라
아 얼마 전에 유튜브에서 그런 내용 본 거 같다... 유튜버가 건강하던 자기 할아버지가 백신 맞고 죽었다고
근데 나도 접종 후에 몸이 좀 이상해져서 인터넷에 검색을 해봤거든?
어떻게 이상한데? 많이 안 좋음?
아니 여자들 그날 있잖아 그때 평소랑 다르게 양도 이상하고 주기도 이상하고 암튼 36 평생 처음 겪는 일이었어
아... 뭔가 항체 생성하고 뭐 그런 게 영향 끼치는 건가
근데 인터넷 검색해보니까 내 같은 사람들 엄청 많아서... 이거 백신 인과관계 인정해 달라고 국민 청원 글까지 올라왔더라.
*** 대통령 때는 이게 나란가 싶었는데 바껴도 똑같네"
